Project_ID,to_be_member,Responses,Responses_date
720576,564545,pending,1111
730785,5687866,Accepted,1111
424890,5687866,Accepted,1111
182256,5687866,Denied,1111
220316,5687866,Accepted,1111
787361,5687866,pending,1111
572437,5687866,Accepted,1111
907523,5687866,Accepted,1111
180370,5687866,Accepted,1111
935462,3557832,pending,1111
690548,2592572,pending,1111
690548,3557832,pending,1111
690548,5086282,pending,1111
408152,2592572,pending,1111
408152,4788888,pending,1111
397528,5687866,Accepted,1111
756402,5687866,Accepted,1111
756402,3557832,Accepted,1111
